"December year","Live births","Deaths","Natural increase"
1952,51846,18897,32949
1953,51888,18354,33534
1954,54057,18876,35178
1955,55596,19224,36372
1956,56532,19698,36834
1957,58425,20862,37563
1958,60558,20301,40254
1959,61800,21126,40671
1960,62778,20892,41889
1961,65391,21780,43608
1962,65013,22083,42933
1963,64527,22416,42111
1964,62304,22860,39441
1965,60045,22974,37071
1966,60003,23778,36225
1967,61023,23007,38013
1968,62112,24465,37647
1969,62361,24162,38199
1970,62052,24840,37209
1971,64458,24309,40152
1972,63216,24801,38415
1973,60729,25311,35415
1974,59334,25260,34074
1975,56640,25116,31524
1976,55104,25455,29649
1977,54180,25962,28218
1978,51030,24669,26361
1979,52278,25341,26940
1980,50541,26676,23865
1981,50793,25149,25644
1982,49938,25533,24405
1983,50475,25992,24483
1984,51636,25377,26256
1985,51798,27480,24318
1986,52821,27045,25779
1987,55254,27420,27837
1988,57546,27408,30138
1989,58092,27042,31050
1990,60153,26532,33621
1991,59913,26391,33522
1992,59166,27117,32052
1993,58782,27099,31683
1994,57321,26952,30366
1995,57672,27813,29856
1996,57282,28254,29025
1997,57603,27471,30135
1998,55350,26205,29142
1999,57051,28122,28929
2000,56604,26658,29943
2001,55800,27825,27972
2002,54021,28065,25956
2003,56136,28011,28125
2004,58074,28419,29655
2005,57744,27033,30711
2006,59193,28245,30948
2007,64044,28521,35520
2008,64341,29187,35154
2009,62541,28965,33579
2010,63897,28437,35457
2011,61404,30081,31320
2012,61179,30099,31080
2013,58719,29568,29148
2014,57243,31062,26181
2015,61038,31608,29430
2016,59430,31179,28251
2017,59610,33339,26268
2018,58020,33225,24795
2019,59637,34260,25377
2020,57573,32613,24960
2021,58659,34932,23727